Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
97319-55056,PF/C,Dario,Dario Saric,Saric,22.708333333333332,24,5500,BKN@GS,GS,BKN,,,,,,PF/C
97319-58153,SF/SG,Kelly,Kelly Oubre,Oubre,24.81538508488582,13,5500,PHI@CHA,PHI,CHA,,,,,,SG/SF
97319-189467,PG,Craig,Craig Porter,Porter,15.299999782017299,14,5300,ATL@CLE,CLE,ATL,,,,,,PG
97319-40562,SG/SF,Josh,Josh Hart,Hart,22.09583282470703,24,5300,NY@LAC,NY,LAC,,,,,,SG/SF
97319-111273,SF/SG,Luguentz,Luguentz Dort,Dort,21.59090909090909,22,5300,OKC@DEN,OKC,DEN,,,,,,SG/SF
97319-171746,SG/SF,Bennedict,Bennedict Mathurin,Mathurin,22.44782555621603,23,5300,IND@MIN,IND,MIN,,,,,,SG/SF
97319-157839,C,Day'Ron,Day'Ron Sharpe,Sharpe,18.84166717529297,24,5200,BKN@GS,BKN,GS,,,,,,C
97319-145304,C,Onyeka,Onyeka Okongwu,Okongwu,22.67083231608073,24,5200,ATL@CLE,ATL,CLE,,,,,,C
97319-23981,PG/SG,Alex,Alex Caruso,Caruso,21.290476481119793,21,5200,CHI@MIA,CHI,MIA,GTD,Ankle,,,,PG/SG
97319-18393,PG,T.J.,T.J. McConnell,McConnell,19.50588271197151,17,5200,IND@MIN,IND,MIN,,,,,,PG
97319-188447,SF/PF,Toumani,Toumani Camara,Camara,17.773912512737773,23,5100,DAL@POR,POR,DAL,,,,,,SF/PF
97319-15557,C,Andre,Andre Drummond,Drummond,18.15769254244291,26,5100,CHI@MIA,CHI,MIA,,,,,,C
97319-84681,SG/SF,Donte,Donte DiVincenzo,DiVincenzo,18.02916717529297,24,5100,NY@LAC,NY,LAC,,,,,,SG/SF
97319-145348,SG/PG,Immanuel,Immanuel Quickley,Quickley,23.23478367017663,23,5100,NY@LAC,NY,LAC,,,,,,PG/SG
97319-16376,SF/PF,Dorian,Dorian Finney-Smith,Finney-Smith,21.608695652173914,23,5100,BKN@GS,BKN,GS,GTD,Knee,,,,SF/PF
97319-157849,PG/SG,Ayo,Ayo Dosunmu,Dosunmu,13.745833079020182,24,5000,CHI@MIA,CHI,MIA,,,,,,PG/SG
97319-58576,C,Kevon,Kevon Looney,Looney,21.70416768391927,24,5000,BKN@GS,GS,BKN,,,,,,C
97319-110318,PF,Grant,Grant Williams,Williams,18.542856852213543,21,5000,DAL@POR,DAL,POR,,,,,,PF
97319-18338,SF/PF,Royce,Royce O'Neale,O'Neale,22.5,23,5000,BKN@GS,BKN,GS,,,,,,SF/PF
97319-23716,SF/PF,Kyle,Kyle Anderson,Anderson,21.043478260869566,23,4900,IND@MIN,MIN,IND,,,,,,SF/PF
97319-171764,SF/PF,Jabari,Jabari Walker,Walker,17.517391038977582,23,4900,DAL@POR,POR,DAL,,,,,,SF/PF
97319-16233,SF/SG,Josh,Josh Richardson,Richardson,19.514999389648438,20,4900,CHI@MIA,MIA,CHI,,,,,,SG/SF
97319-49116,SF/PF,Andrew,Andrew Wiggins,Wiggins,18.772727272727273,22,4900,BKN@GS,GS,BKN,,,,,,SF/PF
97319-194767,C,Duop,Duop Reath,Reath,15.633333333333333,15,4800,DAL@POR,POR,DAL,,,,,,C
97319-15636,SG,Kentavious,Kentavious Caldwell-Pope,Caldwell-Pope,21.0839990234375,25,4800,OKC@DEN,DEN,OKC,O,Concussion,,,,SG
97319-145325,SF/SG,Josh,Josh Green,Green,16.327777438693577,18,4800,DAL@POR,DAL,POR,O,Elbow,,,,SG/SF
97319-80814,PG,Dennis,Dennis Smith,Smith,17.792307927058292,13,4800,BKN@GS,BKN,GS,O,Back,,,,PG
97319-145339,PF,Obi,Obi Toppin,Toppin,21.113043743631113,23,4800,IND@MIN,IND,MIN,,,,,,PF
97319-171665,C,Orlando,Orlando Robinson,Robinson,18.199999722567473,11,4700,CHI@MIA,MIA,CHI,,,,,,C
